K	L	MIN	AVG	VSD	TIME	TSD
data/soc-gplus.txt
2 	0.1 	8325	8331.20	5.98	4.16	0.04
2 	0.075 	8326	8331.60	6.09	4.14	0.07
2 	0.05 	8331	8335.60	3.88	4.12	0.04
2 	0.025 	8327	8331.80	4.45	4.09	0.08

6 	0.1 	8330	8334.40	3.20	4.19	0.03
6 	0.075 	8327	8332.40	3.61	4.08	0.05
6 	0.05 	8327	8334.80	4.66	4.02	0.04
6 	0.025 	8321	8330.80	7.60	4.04	0.08

10 	0.1 	8324	8331.40	4.13	4.21	0.15
10 	0.075 	8317	8338.20	11.23	4.25	0.04
10 	0.05 	8328	8333.00	4.15	4.13	0.06
10 	0.025 	8331	8338.60	5.39	4.15	0.07

14 	0.1 	8318	8326.20	5.04	4.11	0.07
14 	0.075 	8330	8338.80	9.45	4.11	0.06
14 	0.05 	8326	8338.40	9.85	4.09	0.10
14 	0.025 	8329	8334.60	4.22	4.02	0.03



data/graph_actors_dat.txt
2 	0.1 	3273	3281.60	7.58	2.86	0.07
2 	0.075 	3245	3271.40	13.92	2.73	0.10
2 	0.05 	3262	3276.00	9.57	2.69	0.08
2 	0.025 	3251	3268.00	10.49	2.86	0.14

6 	0.1 	3259	3274.60	9.83	2.89	0.09
6 	0.075 	3253	3272.80	14.52	2.98	0.11
6 	0.05 	3268	3275.40	8.11	2.92	0.08
6 	0.025 	3274	3280.60	4.63	2.69	0.09

10 	0.1 	3263	3274.80	7.68	2.67	0.05
10 	0.075 	3266	3272.80	5.64	2.89	0.06
10 	0.05 	3260	3271.40	9.91	2.84	0.11
10 	0.025 	3257	3273.40	9.77	2.66	0.03

14 	0.1 	3259	3275.20	11.82	2.73	0.16
14 	0.075 	3270	3280.40	5.31	2.95	0.14
14 	0.05 	3258	3269.80	6.52	2.81	0.04
14 	0.025 	3271	3283.00	8.17	2.95	0.15



data/socfb-Brandeis99.txt
2 	0.1 	1504	1510.40	6.83	8.65	0.10
2 	0.075 	1504	1511.40	5.00	8.57	0.37
2 	0.05 	1507	1511.00	2.76	8.77	0.30
2 	0.025 	1508	1518.40	5.46	8.47	0.34

6 	0.1 	1506	1511.60	3.83	8.88	0.17
6 	0.075 	1508	1517.00	8.00	8.74	0.29
6 	0.05 	1510	1513.80	3.25	8.68	0.31
6 	0.025 	1504	1512.20	6.43	8.36	0.35

10 	0.1 	1506	1515.60	6.77	8.21	0.08
10 	0.075 	1513	1516.20	3.31	8.39	0.31
10 	0.05 	1512	1516.40	3.26	8.12	0.20
10 	0.025 	1516	1520.40	3.01	8.38	0.25

14 	0.1 	1503	1513.00	5.48	8.71	0.18
14 	0.075 	1502	1510.40	5.08	8.56	0.32
14 	0.05 	1509	1516.20	4.07	8.41	0.29
14 	0.025 	1513	1517.60	3.07	8.77	0.18



data/graph_football.txt
2 	0.1 	67	67.40	0.49	0.12	0.00
2 	0.075 	66	67.60	0.80	0.13	0.01
2 	0.05 	68	68.40	0.49	0.12	0.00
2 	0.025 	67	67.40	0.49	0.12	0.01

6 	0.1 	67	67.60	0.49	0.12	0.00
6 	0.075 	67	67.40	0.49	0.12	0.00
6 	0.05 	66	67.00	0.63	0.12	0.00
6 	0.025 	66	67.80	1.17	0.13	0.01

10 	0.1 	66	67.20	0.75	0.12	0.00
10 	0.075 	66	67.40	1.02	0.12	0.00
10 	0.05 	66	67.60	1.02	0.13	0.00
10 	0.025 	67	67.40	0.80	0.13	0.00

14 	0.1 	66	67.60	1.02	0.12	0.01
14 	0.075 	66	67.20	0.75	0.12	0.00
14 	0.05 	67	67.60	0.49	0.12	0.00
14 	0.025 	66	67.40	1.02	0.13	0.01



END
